Algorithm,Instance,Instance Size,Run,Final Value,Deviation
genetic,data/Benchmarks/ta087,100,2,379638,1.6684163167366526
genetic,data/Benchmarks/ta087,100,3,381292,2.111363441597395
genetic,data/Benchmarks/ta087,100,4,381262,2.1033293341331736
genetic,data/Benchmarks/ta087,100,5,380218,1.8237423943782674
genetic,data/Benchmarks/ta087,100,6,379724,1.691447424800754
genetic,data/Benchmarks/ta087,100,7,380094,1.7905347501928186
genetic,data/Benchmarks/ta087,100,8,382603,2.462453937783872
genetic,data/Benchmarks/ta087,100,9,380705,1.9541627388807954
genetic,data/Benchmarks/ta087,100,10,380747,1.9654104893307052
ils,data/Benchmarks/ta059,50,1,123165,1.0609491925955101
ils,data/Benchmarks/ta059,50,2,123181,1.0740777208874885
ils,data/Benchmarks/ta059,50,3,123309,1.179105947223316
ils,data/Benchmarks/ta059,50,4,123284,1.1585926217670999
ils,data/Benchmarks/ta059,50,5,123115,1.0199225416830775
ils,data/Benchmarks/ta059,50,6,123009,0.9329460417487201
ils,data/Benchmarks/ta059,50,7,123217,1.1036169095444401
ils,data/Benchmarks/ta059,50,8,123094,1.0026913482998556
ils,data/Benchmarks/ta059,50,9,123216,1.1027963765261914
ils,data/Benchmarks/ta059,50,10,123161,1.0576670605225154
genetic,data/Benchmarks/ta059,50,1,123387,1.2431075226467112
genetic,data/Benchmarks/ta059,50,2,122893,0.8377642116318761
genetic,data/Benchmarks/ta059,50,3,123370,1.229158461336484
genetic,data/Benchmarks/ta059,50,4,122509,0.5226795326243928
genetic,data/Benchmarks/ta059,50,5,122640,0.6301693580149665
genetic,data/Benchmarks/ta059,50,6,122955,0.8886372587632927
genetic,data/Benchmarks/ta059,50,7,123074,0.9862806879348824
genetic,data/Benchmarks/ta059,50,8,122716,0.6925298674018643
genetic,data/Benchmarks/ta059,50,9,122174,0.2478009715110936
genetic,data/Benchmarks/ta059,50,10,123219,1.1052579755809373
ils,data/Benchmarks/ta054,50,1,121875,1.3420809738818071
ils,data/Benchmarks/ta054,50,2,122058,1.4942500062364357
ils,data/Benchmarks/ta054,50,3,121576,1.093455068559217
ils,data/Benchmarks/ta054,50,4,121751,1.2389719027781243
ils,data/Benchmarks/ta054,50,5,121834,1.3079884584362345
ils,data/Benchmarks/ta054,50,6,121750,1.238140378011159
ils,data/Benchmarks/ta054,50,7,121842,1.314640656571956
ils,data/Benchmarks/ta054,50,8,121909,1.3703528159586233
ils,data/Benchmarks/ta054,50,9,122141,1.563266561894546
ils,data/Benchmarks/ta054,50,10,122068,1.5025652539060876
genetic,data/Benchmarks/ta054,50,1,122045,1.4834401842658884
genetic,data/Benchmarks/ta054,50,2,122157,1.576570958165989
genetic,data/Benchmarks/ta054,50,3,121198,0.7791387066463775
genetic,data/Benchmarks/ta054,50,4,121432,0.9737155021162305
genetic,data/Benchmarks/ta054,50,5,121972,1.42273887627743
genetic,data/Benchmarks/ta054,50,6,121972,1.42273887627743
genetic,data/Benchmarks/ta054,50,7,122085,1.5167011749444956
genetic,data/Benchmarks/ta054,50,8,121347,0.90303589692419
genetic,data/Benchmarks/ta054,50,9,121869,1.337091825280016
genetic,data/Benchmarks/ta054,50,10,121567,1.0859713456565303
ils,data/Benchmarks/ta102,200,1,1263362,2.555606065525863
ils,data/Benchmarks/ta102,200,2,1262632,2.4963470467902718
ils,data/Benchmarks/ta102,200,3,1263749,2.5870214631295254
ils,data/Benchmarks/ta101,200,1,1242479,1.6951663490940998
ils,data/Benchmarks/ta101,200,2,1248518,2.1894500428886663
ils,data/Benchmarks/ta101,200,3,1246301,2.007991697278043
genetic,data/Benchmarks/ta102,200,1,1274064,3.424359515537228
genetic,data/Benchmarks/ta102,200,2,1271968,3.2542130727018863
