Algorithm,Instance,Instance Size,Run,Final Value,Deviation
ils,data/Benchmarks/ta103,200,1,1281387,2.117033332217637
ils,data/Benchmarks/ta103,200,2,1284666,2.378345295189278
ils,data/Benchmarks/ta103,200,3,1284644,2.376592058475226
genetic,data/Benchmarks/ta103,200,1,1296697,3.3371267000419182
genetic,data/Benchmarks/ta103,200,2,1304319,3.944543528882981
genetic,data/Benchmarks/ta103,200,3,1293427,3.0765319702714806
ils,data/Benchmarks/ta054,50,1,121903,1.3653636673568323
ils,data/Benchmarks/ta054,50,2,122126,1.5507936903900683
ils,data/Benchmarks/ta054,50,3,121685,1.1840912681584221
ils,data/Benchmarks/ta054,50,4,121874,1.341249449114842
ils,data/Benchmarks/ta054,50,5,121832,1.3063254089023042
ils,data/Benchmarks/ta054,50,6,121826,1.301336260300513
ils,data/Benchmarks/ta054,50,7,122119,1.544973017021312
ils,data/Benchmarks/ta054,50,8,121876,1.3429124986487722
ils,data/Benchmarks/ta054,50,9,121816,1.2930210126308612
ils,data/Benchmarks/ta054,50,10,121543,1.066014751249366
genetic,data/Benchmarks/ta105,200,1,1256094,3.3472627777764066
genetic,data/Benchmarks/ta105,200,2,1248548,2.7264028382168664
genetic,data/Benchmarks/ta105,200,3,1264374,4.028513811377386
genetic,data/Benchmarks/ta054,50,1,121775,1.2589284971852888
genetic,data/Benchmarks/ta054,50,2,121452,0.9903459974555342
genetic,data/Benchmarks/ta054,50,3,121300,0.8639542328768263
genetic,data/Benchmarks/ta054,50,4,121462,0.9986612451251862
genetic,data/Benchmarks/ta054,50,5,122490,1.8534687055653951
genetic,data/Benchmarks/ta054,50,6,121498,1.0285961367359326
genetic,data/Benchmarks/ta054,50,7,121398,0.9454436600394143
genetic,data/Benchmarks/ta054,50,8,122124,1.5491306408561378
genetic,data/Benchmarks/ta054,50,9,121888,1.3528907958523546
genetic,data/Benchmarks/ta054,50,10,121426,0.9687263535144394
ils,data/Benchmarks/ta102,200,1,1258625,2.171071857648472
ils,data/Benchmarks/ta102,200,2,1261186,2.378965483651005
ils,data/Benchmarks/ta102,200,3,1259990,2.2818781050102284
ils,data/Benchmarks/ta101,200,1,1244794,1.8846458574786702
ils,data/Benchmarks/ta101,200,2,1244339,1.8474047445996293
ils,data/Benchmarks/ta101,200,3,1242434,1.6914831621060629
ils,data/Benchmarks/ta087,100,1,379874,1.7316179621218613
ils,data/Benchmarks/ta087,100,2,380739,1.9632680606735797
ils,data/Benchmarks/ta087,100,3,380353,1.8598958779672639
ils,data/Benchmarks/ta087,100,4,380213,1.8224033764675636
ils,data/Benchmarks/ta087,100,5,379775,1.7051054074899306
ils,data/Benchmarks/ta087,100,6,380418,1.8773031108064102
ils,data/Benchmarks/ta087,100,7,379590,1.6555617447938982
ils,data/Benchmarks/ta087,100,8,379685,1.6810030850972664
ils,data/Benchmarks/ta087,100,9,381061,2.04950081412289
ils,data/Benchmarks/ta087,100,10,380374,1.865519753192219
genetic,data/Benchmarks/ta087,100,1,379470,1.6234253149370124
genetic,data/Benchmarks/ta087,100,2,379349,1.5910210814979862
genetic,data/Benchmarks/ta087,100,3,380104,1.793212786014226
genetic,data/Benchmarks/ta087,100,4,379949,1.751703230782415
genetic,data/Benchmarks/ta087,100,5,379731,1.693322049875739
genetic,data/Benchmarks/ta087,100,6,380624,1.9324706487273975
genetic,data/Benchmarks/ta087,100,7,378377,1.3307159996572113
genetic,data/Benchmarks/ta087,100,8,379680,1.6796640671865628
genetic,data/Benchmarks/ta087,100,9,380244,1.8307052875139256
genetic,data/Benchmarks/ta087,100,10,378117,1.2610870683006254
genetic,data/Benchmarks/ta102,200,1,1275043,3.503831542033315
genetic,data/Benchmarks/ta102,200,2,1272519,3.2989414553365584
genetic,data/Benchmarks/ta102,200,3,1276699,3.6382602201513135
genetic,data/Benchmarks/ta101,200,1,1260684,3.185220107254405
genetic,data/Benchmarks/ta101,200,2,1249002,2.2290647651599977
genetic,data/Benchmarks/ta101,200,3,1255250,2.740454816299003
ils,data/Benchmarks/ta108,200,1,1259759,2.1489438130089673
ils,data/Benchmarks/ta108,200,2,1260640,2.220380666803432
ils,data/Benchmarks/ta108,200,3,1262224,2.3488210486540924
genetic,data/Benchmarks/ta108,200,1,1274018,3.305150507963871
genetic,data/Benchmarks/ta108,200,2,1270715,3.037323120809369
genetic,data/Benchmarks/ta108,200,3,1269138,2.909450341656281
ils,data/Benchmarks/ta110,200,1,1264061,2.364389924720455
ils,data/Benchmarks/ta110,200,2,1260358,2.0645188458000234
ils,data/Benchmarks/ta110,200,3,1266906,2.594779668044416
ils,data/Benchmarks/ta084,100,1,380451,2.1638430367917767
ils,data/Benchmarks/ta084,100,2,379709,1.9645911711552042
ils,data/Benchmarks/ta084,100,3,379274,1.847779093591985
ils,data/Benchmarks/ta084,100,4,378986,1.7704414422397845
ils,data/Benchmarks/ta084,100,5,378563,1.65685176681624
ils,data/Benchmarks/ta084,100,6,379559,1.9243111444092666
ils,data/Benchmarks/ta084,100,7,379805,1.9903703882726043
ils,data/Benchmarks/ta084,100,8,378319,1.591329589976181
ils,data/Benchmarks/ta084,100,9,379009,1.776617713007495
ils,data/Benchmarks/ta084,100,10,378584,1.6624909705606712
genetic,data/Benchmarks/ta084,100,1,377196,1.2897664564049272
genetic,data/Benchmarks/ta084,100,2,378929,1.7551350320763281
genetic,data/Benchmarks/ta084,100,3,379064,1.7913870561476721
genetic,data/Benchmarks/ta084,100,4,379814,1.9927871898773608
genetic,data/Benchmarks/ta084,100,5,380385,2.146119825023564
genetic,data/Benchmarks/ta084,100,6,378540,1.6506754960485295
genetic,data/Benchmarks/ta084,100,7,377609,1.4006707967120757
genetic,data/Benchmarks/ta084,100,8,378032,1.51426047213562
genetic,data/Benchmarks/ta084,100,9,379587,1.9318300827351749
genetic,data/Benchmarks/ta084,100,10,378856,1.7355320857266383
genetic,data/Benchmarks/ta110,200,1,1272764,3.069163891732207
genetic,data/Benchmarks/ta110,200,2,1274266,3.1907967193148394
genetic,data/Benchmarks/ta110,200,3,1271635,2.9777368196011866
ils,data/Benchmarks/ta085,100,1,376201,1.9749806866080262
ils,data/Benchmarks/ta085,100,2,375503,1.7857772115527966
ils,data/Benchmarks/ta085,100,3,375388,1.7546047192442702
ils,data/Benchmarks/ta085,100,4,375348,1.7437621132239134
ils,data/Benchmarks/ta085,100,5,374395,1.485437024788908
ils,data/Benchmarks/ta085,100,6,375568,1.8033964463358767
ils,data/Benchmarks/ta085,100,7,375393,1.7559600449968151
ils,data/Benchmarks/ta085,100,8,375339,1.7413225268693329
